开课院系,课程号,课序号,课程名,学分,主讲教师,本科生课容量,本科生课余量,研究生课容量,研究生课余量,上课时间,课程特色,年级,通识选秀课组
建筑学院,21,90,面向城乡协调的乡村规划,1,刘健,120,79,0,0,3-2(前八周),文化素质课; 实践课; 通识选修课;,,社科课组
建筑学院,51,90,建筑与城市美学,1,王辉,90,0,0,0,2-6(后八周),文化素质课; 通识选修课;,,艺术课组
建筑学院,131,90,极地建筑,1,庄惟敏,100,3,0,0,2-2(后八周),文化素质课; 通识选修课;,,社科课组
建筑学院,141,90,城市更新理论与实践认知,1,唐燕,30,1,0,0,4-6(后八周),文化素质课; 实践课; 通识选修课;,,社科课组
建筑学院,162,90,绿色建筑：从理念到实践,2,李晓锋,30,9,0,0,2-6(全周),文化素质课; 实践课; 通识选修课;,,科学课组
建筑学院,191,90,人体热舒适前沿,1,曹彬,30,0,5,4,1-6(前八周),文化素质课; 通识选修课;,,科学课组
建筑学院,212,90,风景之道：自然·设计·人,2,郑晓笛,30,0,0,0,"1-4(后八周),1-3(后八周)",文化素质课; 通识选修课;,,艺术课组
建筑学院,272,90,以设计营共乐：解读与构想城市公共场所,2,张烨,30,10,0,0,2-6(全周),全外文授课; 实践课; 通识选修课;,,社科课组
建筑学院,291,90,形式范式与建筑想象力,1,范路,30,0,0,0,1-6(后八周),通识选修课,2022,艺术课组
建筑学院,302,90,中国技术思想史,2,刘克明,100,34,90,90,2-6(全周),通识选修课,,人文课组
土木系,30112,90,结构美学,2,董聪,28,10,0,0,1-6(全周),文化素质核心课; 文化素质课;,,
土木系,30131,90,结构中的技术和艺术,1,石永久,30,0,0,0,1-6(后八周),新生研讨课; 文化素质课; 通识选修课;,2024,艺术课组
土木系,30242,90,现代土木工程材料与工程应用,2,王强,40,7,0,0,4-6(全周),,2022,
土木系,30342,90,智能搭建积木的原理与体验,2,冯鹏,20,0,0,0,1-6(全周),文化素质课; 实践课; 通识选修课;,,科学课组
水利系,40122,90,水资源与水危机,2,杨大文,15,0,0,0,3-6(前八周),新生研讨课; 文化素质课; 通识选修课;,,科学课组
水利系,40132,90,宝玉石鉴赏,2,刘晓丽,180,0,0,0,2-6(全周),文化素质课; 通识选修课;,,艺术课组
水利系,40202,0,水利大数据原理与实践,2,李铁键,25,6,0,0,5-4(全周),实验课,2022,
水利系,40251,90,全球水发展,1,张硕,40,8,0,0,1-6(前八周),外文授课比例≥50%(双语课),,
水利系,40262,90,石文化和艺术,2,温庆博,80,47,0,0,4-6(全周),,,
环境学院,50071,90,环境保护与可持续发展,1,钱易,400,1,0,0,4-6(前八周),文化素质核心课; 文化素质课; 通识选修课;,,科学课组
环境学院,50083,90,基础地质学,3,王洪涛,115,93,0,0,3-6(全周),文化素质课; 通识选修课;,,科学课组
环境学院,50161,90,环境与化学,1,邓述波,20,5,0,0,4-6(前八周),新生研讨课; 文化素质课; 通识选修课;,,科学课组
环境学院,50191,90,土壤与环境安全,1,张芳,20,2,0,0,1-6(前八周),新生研讨课; 文化素质课; 通识选修课;,,科学课组
环境学院,50211,90,环境危机与生态重建,1,王慧,20,2,0,0,2-6(前八周),新生研讨课; 文化素质课; 通识选修课;,,科学课组
环境学院,50222,90,生态文明十五讲,2,贺克斌,135,101,0,0,1-3(全周),文化素质课; 通识选修课;,,科学课组
环境学院,50231,90,走进新能源与环境催化,1,李俊华,20,13,0,0,1-6(前八周),新生研讨课; 文化素质课; 通识选修课;,,科学课组
环境学院,50262,90,碳中和与减污降碳前沿讲座,2,贺克斌,50,31,0,0,3-6(全周),文化素质课; 通识选修课;,,科学课组
环境学院,50271,90,碳核算方法,1,田金平,100,90,0,0,1-6(前八周),外文教材，中文为主进行授课(双语课); 实践课;,,
机械系,120062,0,机器人工程基础及应用,2,康珊珊,40,16,0,0,"5-4(前八周),5-3(前八周)",,,
机械系,120112,90,生物材料工程与器件,2,熊卓,30,4,0,0,3-6(全周),文化素质课; 通识选修课;,,科学课组
机械系,120222,90,表面工程基础,2,邵天敏,30,6,0,0,3-6(1-12周),文化素质课; 通识选修课;,,科学课组
机械系,120232,90,工程生物学基础,2,孙伟,25,10,0,0,4-4(全周),外文教材，中文为主进行授课(双语课); 文化素质课; 通识选修课;,,科学课组
机械系,120242,0,机械的奥秘,2,赵乾,114,9,0,0,2-6(全周),实验课; 实践课;,2024,
机械系,120272,91,机器人认知与实践,2,谢福贵,20,1,0,0,1-6(全周),外文教材，中文为主进行授课(双语课); 文化素质课; 实践课; 通识选修课;,,科学课组
机械系,120272,92,机器人认知与实践,2,赵慧婵,20,0,0,0,2-6(全周),外文教材，中文为主进行授课(双语课); 文化素质课; 实践课; 通识选修课;,,科学课组
机械系,120272,93,机器人认知与实践,2,刘辛军,20,2,0,0,3-6(全周),外文教材，中文为主进行授课(双语课); 文化素质课; 实践课; 通识选修课;,,科学课组
精仪系,130172,90,误差理论与数据处理,2,尉昊赟,23,16,0,0,2-6(全周),,2022,
精仪系,130201,90,宇航技术的发展与微小卫星,1,赵开春,16,5,0,0,1-6(前八周),新生研讨课; 文化素质课; 通识选修课;,,科学课组
精仪系,130302,0,嵌入式系统设计与实践,2,周斌,25,13,0,0,2-1(全周),实验课,2022,
精仪系,130441,90,激光的奥秘,1,付星,28,16,0,0,2-6(前八周),,,
车辆学院,150092,0,产品创造系统工程学,2,ZHAO FUQUAN,22,12,8,7,"2-4(单周),2-3(单周)",文化素质课; 通识选修课;,2022,科学课组
车辆学院,150123,0,赛车工程(1),3,田光宇,24,7,0,0,3-6(全周),,2022,
车辆学院,150132,90,车用能源概论,2,郝瀚,28,11,0,0,5-2(1-11周),文化素质课; 通识选修课;,,科学课组
车辆学院,150151,90,汽车文化,1,马骁,40,0,0,0,2-6(前八周),文化素质课; 通识选修课;,,人文课组
车辆学院,150241,90,新生导引课,1,聂冰冰,15,1,0,0,2-6(后八周),,,
工业工程系,160062,90,工业生产管理概论,2,梁正霖,55,45,0,0,2-6(全周),外文教材，中文为主进行授课(双语课); 文化素质课; 通识选修课;,,科学课组
统计系,160093,90,统计学引论：数据分析的科学与艺术,3,邓柯,190,88,0,0,2-6(全周),外文教材，中文为主进行授课(双语课); 文化素质课; 通识选修课;,,科学课组
工业工程系,160102,90,思考的方法,2,李乐飞,150,0,0,0,1-3(全周),文化素质课; 实践课; 通识选修课;,,社科课组
电机系,220122,0,虚拟仪器基础,2,郝丽,17,2,0,0,2-6(全周),,2022,
电机系,220132,0,可编程控制器及变频器系统,2,于庆广,32,14,0,0,2-4(全周),,2022,
电机系,220152,90,当代自然科学与哲学的对话,2,罗海云,20,2,0,0,1-6(全周),文化素质课; 通识选修课;,,科学课组
电子系,230202,90,光的技术：提升人类生活,2,张巍,30,2,0,0,4-6(全周),新生研讨课; 通识选修课;,,科学课组
计算机系,240013,90,计算机辅助设计技术基础,3,孙延奎,40,18,0,0,4-6(全周),,,
计算机系,240042,90,人工智能导论,2,李建民,60,0,0,0,3-6(全周),,2021,
计算机系,240094,90,计算机组成与系统结构,4,陆游游,50,34,0,0,2-6(全周),,,
计算机系,240193,90,程序设计艺术和实践,3,邬晓钧,30,30,0,0,(全周),实践课,,
计算机系,240311,90,计算机系统研讨,1,陈文光,30,4,0,0,1-6(前八周),外文教材，中文为主进行授课(双语课); 新生研讨课; 文化素质课; 通识选修课;,2024,科学课组
计算机系,240362,91,计算思维,2,韩文弢,30,0,0,0,2-6(全周),文化素质课; 通识选修课;,,科学课组
计算机系,240362,92,计算思维,2,马昱春,30,0,0,0,3-3(全周),文化素质课; 通识选修课;,2024,科学课组
计算机系,240401,90,迈向通用的人工智能,1,刘知远,800,612,0,0,(全周),,,
自动化系,250082,90,漫话滤波,2,周彤,16,0,0,0,3-6(全周),新生研讨课; 文化素质课; 通识选修课;,,科学课组
自动化系,250131,90,企业信息化概论,1,范玉顺,16,2,0,0,1-3(前八周),新生研讨课; 文化素质课; 通识选修课;,2024,科学课组
自动化系,250141,90,视觉信息获取与显示,1,戴琼海,16,0,0,0,1-1(前八周),新生研讨课; 文化素质课; 通识选修课;,,科学课组
自动化系,250181,90,智能机器人初探,1,陈章,16,0,0,0,1-3(前八周),新生研讨课; 文化素质课; 通识选修课;,,科学课组
