开课院系,课程号,课序号,课程名,学分,主讲教师,本科生课容量,本科生课余量,研究生课容量,上课时间,掉课率
建筑学院,21,90,面向城乡协调的乡村规划,1,刘健,120,79,0,3-2(前八周),16.50700633307669
建筑学院,51,90,建筑与城市美学,1,王辉,90,0,0,2-6(后八周),36.158044515703956
建筑学院,131,90,极地建筑,1,庄惟敏,100,3,0,2-2(后八周),17.580040112130284
建筑学院,141,90,城市更新理论与实践认知,1,唐燕,30,1,0,4-6(后八周),10.787960129222094
建筑学院,162,90,绿色建筑：从理念到实践,2,李晓锋,30,9,0,2-6(全周),15.471866305095931
建筑学院,191,90,人体热舒适前沿,1,曹彬,30,0,5,1-6(前八周),36.97386295127517
建筑学院,212,90,风景之道：自然·设计·人,2,郑晓笛,30,0,0,"1-4(后八周),1-3(后八周)",44.62826662340204
建筑学院,272,90,以设计营共乐：解读与构想城市公共场所,2,张烨,30,10,0,2-6(全周),13.530874896782239
建筑学院,291,90,形式范式与建筑想象力,1,范路,30,0,0,1-6(后八周),45.822981875968736
建筑学院,302,90,中国技术思想史,2,刘克明,100,34,90,2-6(全周),18.03419065271393
土木系,30112,90,结构美学,2,董聪,28,10,0,1-6(全周),12.114044367434516
土木系,30131,90,结构中的技术和艺术,1,石永久,30,0,0,1-6(后八周),31.405751351617138
土木系,30242,90,现代土木工程材料与工程应用,2,王强,40,7,0,4-6(全周),15.861407316606627
土木系,30342,90,智能搭建积木的原理与体验,2,冯鹏,20,0,0,1-6(全周),41.14182184623638
水利系,40122,90,水资源与水危机,2,杨大文,15,0,0,3-6(前八周),31.910298014283757
水利系,40132,90,宝玉石鉴赏,2,刘晓丽,180,0,0,2-6(全周),47.8803123056723
水利系,40202,0,水利大数据原理与实践,2,李铁键,25,6,0,5-4(全周),17.002742112295355
水利系,40251,90,全球水发展,1,张硕,40,8,0,1-6(前八周),11.20915398107014
水利系,40262,90,石文化和艺术,2,温庆博,80,47,0,4-6(全周),15.770902087039861
环境学院,50071,90,环境保护与可持续发展,1,钱易,400,1,0,4-6(前八周),13.102360610565796
环境学院,50083,90,基础地质学,3,王洪涛,115,93,0,3-6(全周),19.053414778796878
环境学院,50161,90,环境与化学,1,邓述波,20,5,0,4-6(前八周),19.88038743583108
环境学院,50191,90,土壤与环境安全,1,张芳,20,2,0,1-6(前八周),10.905110866443028
环境学院,50211,90,环境危机与生态重建,1,王慧,20,2,0,2-6(前八周),13.536182610786962
环境学院,50222,90,生态文明十五讲,2,贺克斌,135,101,0,1-3(全周),12.0207474046269
环境学院,50231,90,走进新能源与环境催化,1,李俊华,20,13,0,1-6(前八周),12.40707087984506
环境学院,50262,90,碳中和与减污降碳前沿讲座,2,贺克斌,50,31,0,3-6(全周),18.10624505391717
环境学院,50271,90,碳核算方法,1,田金平,100,90,0,1-6(前八周),10.273155736079602
机械系,120062,0,机器人工程基础及应用,2,康珊珊,40,16,0,"5-4(前八周),5-3(前八周)",11.264094094203935
机械系,120112,90,生物材料工程与器件,2,熊卓,30,4,0,3-6(全周),10.919812375705241
机械系,120222,90,表面工程基础,2,邵天敏,30,6,0,3-6(1-12周),19.44667347792118
机械系,120232,90,工程生物学基础,2,孙伟,25,10,0,4-4(全周),12.17441589871526
机械系,120242,0,机械的奥秘,2,赵乾,114,9,0,2-6(全周),13.047762980187464
机械系,120272,91,机器人认知与实践,2,谢福贵,20,1,0,1-6(全周),19.97627871357792
机械系,120272,92,机器人认知与实践,2,赵慧婵,20,0,0,2-6(全周),40.76218443786553
机械系,120272,93,机器人认知与实践,2,刘辛军,20,2,0,3-6(全周),15.749982181992156
精仪系,130172,90,误差理论与数据处理,2,尉昊赟,23,16,0,2-6(全周),12.998231734120381
精仪系,130201,90,宇航技术的发展与微小卫星,1,赵开春,16,5,0,1-6(前八周),18.84223012674806
精仪系,130302,0,嵌入式系统设计与实践,2,周斌,25,13,0,2-1(全周),11.596508859226391
精仪系,130441,90,激光的奥秘,1,付星,28,16,0,2-6(前八周),11.491330860396701
车辆学院,150092,0,产品创造系统工程学,2,ZHAO FUQUAN,22,12,8,"2-4(单周),2-3(单周)",12.391602030615589
车辆学院,150123,0,赛车工程(1),3,田光宇,24,7,0,3-6(全周),17.799221261258737
车辆学院,150132,90,车用能源概论,2,郝瀚,28,11,0,5-2(1-11周),18.822655835468993
车辆学院,150151,90,汽车文化,1,马骁,40,0,0,2-6(前八周),30.035864433948166
